                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.70659,                0.59097,                 1.0132,                0.92522,                0.86997,                0.90271,                0.68952,                 0.8992,                0.67165,                 1.1643,               0.000948,               0.000948,               0.000948
                     36,                0.70427,                0.57928,                  1.006,                0.93662,                0.90741,                 0.9131,                0.73862,                0.82596,                0.67251,                 1.1137,             0.00093385,             0.00093385,             0.00093385
                     37,                0.71258,                0.57593,                 1.0073,                0.96054,                0.83713,                0.90201,                0.73972,                0.78345,                0.64863,                 1.0869,              0.0009197,              0.0009197,              0.0009197
                     38,                0.72227,                0.59697,                 1.0157,                0.92401,                0.85146,                0.91235,                0.73092,                0.84778,                0.65911,                 1.1297,             0.00090556,             0.00090556,             0.00090556
                     39,                0.69112,                0.55251,                 1.0021,                0.88779,                0.89408,                 0.9103,                0.74052,                0.80084,                0.64353,                 1.0941,             0.00089141,             0.00089141,             0.00089141
                     40,                0.69213,                0.54321,                0.99145,                0.91346,                0.85797,                0.90934,                0.75088,                0.77918,                0.64625,                 1.0685,             0.00087726,             0.00087726,             0.00087726
                     41,                0.69459,                0.54636,                 1.0071,                0.89424,                0.90308,                0.91747,                0.74073,                0.78889,                0.62211,                 1.0773,             0.00086312,             0.00086312,             0.00086312
                     42,                0.65267,                0.49245,                0.97408,                0.92924,                0.88458,                0.90593,                0.71464,                0.84273,                0.68859,                 1.0958,             0.00084897,             0.00084897,             0.00084897
                     43,                0.68685,                0.54911,                 1.0014,                 0.9578,                0.84257,                0.91559,                0.74146,                0.80026,                0.66997,                 1.1132,             0.00083482,             0.00083482,             0.00083482
                     44,                0.67974,                0.53533,                 1.0106,                0.91701,                 0.8985,                0.93436,                0.74875,                0.85655,                0.59383,                 1.1241,             0.00082067,             0.00082067,             0.00082067
                     45,                0.64999,                0.50765,                0.98614,                0.89754,                0.91897,                 0.9188,                0.74116,                0.80872,                0.58051,                 1.0887,             0.00080653,             0.00080653,             0.00080653
                     46,                0.64856,                0.50419,                0.97886,                0.92325,                 0.9269,                0.93875,                0.75571,                0.81603,                0.58266,                 1.0961,             0.00079238,             0.00079238,             0.00079238
