                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2592,                 3.2504,                 1.4036,                0.43051,                0.41013,                0.42359,                0.26376,                 1.0247,                 2.9674,                 1.2057,              0.0004638,              0.0004638,              0.0004638
                      2,                 1.1892,                 2.2876,                 1.2859,                 0.5657,                0.40002,                0.45102,                0.31717,                 1.1388,                 2.6842,                 1.3524,             0.00092152,             0.00092152,             0.00092152
                      3,                 1.1426,                 1.9494,                 1.2469,                0.50535,                0.59211,                0.49144,                0.34209,                 1.1841,                 2.4205,                 1.3328,              0.0013604,              0.0013604,              0.0013604
                      4,                  1.074,                 1.7385,                 1.1913,                0.56775,                0.64305,                0.66215,                0.41589,                 1.2215,                 2.2576,                 1.4513,              0.0013441,              0.0013441,              0.0013441
                      5,                 1.0845,                 1.6018,                 1.2067,                0.73213,                0.66296,                0.68202,                0.48423,                 1.1204,                 1.7473,                 1.2941,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.0642,                 1.4453,                 1.1819,                 0.7781,                0.72292,                0.80154,                0.58487,                 1.0417,                 1.4706,                 1.2221,              0.0012875,              0.0012875,              0.0012875
                      7,                 1.0329,                 1.3508,                 1.1548,                0.75269,                 0.6576,                0.74362,                0.51993,                 1.0563,                 1.5091,                 1.2515,              0.0012592,              0.0012592,              0.0012592
                      8,                 1.0235,                 1.2909,                 1.1615,                0.79017,                 0.7449,                0.80978,                0.61863,                0.99007,                 1.2089,                  1.182,              0.0012309,              0.0012309,              0.0012309
                      9,                0.95845,                 1.1365,                 1.1165,                0.77248,                0.69722,                0.76975,                0.54373,                   1.13,                 1.5523,                  1.244,              0.0012026,              0.0012026,              0.0012026
                     10,                0.98452,                 1.1409,                 1.1383,                0.71192,                0.75117,                0.82685,                 0.5593,                0.99262,                 1.1199,                 1.2013,              0.0011744,              0.0011744,              0.0011744
                     11,                0.94092,                 1.0573,                 1.1042,                0.79484,                0.65322,                0.75831,                0.51325,                 1.1503,                 1.2961,                 1.2536,              0.0011461,              0.0011461,              0.0011461
                     12,                0.94007,                 1.0263,                 1.1017,                0.85038,                0.64265,                0.80852,                0.59523,                0.96014,                 1.0832,                 1.1597,              0.0011178,              0.0011178,              0.0011178
                     13,                0.91454,                0.94464,                 1.0979,                0.84717,                0.79006,                0.89963,                0.67453,                0.92041,                0.93697,                 1.1573,              0.0010895,              0.0010895,              0.0010895
                     14,                0.89323,                0.91203,                 1.0903,                0.90522,                0.80757,                0.89001,                0.65079,                 1.0519,                0.92722,                 1.2058,              0.0010612,              0.0010612,              0.0010612
                     15,                0.85989,                0.85541,                 1.0704,                0.86923,                0.83158,                0.88277,                 0.6483,                  0.981,                0.82923,                 1.2064,              0.0010329,              0.0010329,              0.0010329
                     16,                0.84581,                0.82828,                 1.0556,                0.90476,                0.84912,                 0.8654,                0.66036,                0.92344,                0.89892,                 1.1127,              0.0010046,              0.0010046,              0.0010046
                     17,                0.83027,                0.78858,                 1.0488,                0.83512,                0.85018,                0.89921,                0.70115,                0.85625,                0.80526,                 1.0873,             0.00097629,             0.00097629,             0.00097629
                     18,                0.83403,                0.79696,                 1.0593,                0.96536,                0.84132,                0.94404,                0.73974,                  0.913,                0.70572,                  1.167,               0.000948,               0.000948,               0.000948
                     19,                0.81215,                 0.7615,                 1.0524,                0.93999,                0.81699,                0.93712,                0.72394,                0.86799,                 0.6763,                 1.1073,              0.0009197,              0.0009197,              0.0009197
                     20,                0.79567,                 0.7348,                 1.0353,                0.89078,                0.81606,                 0.8896,                0.67899,                0.92638,                0.79271,                 1.1437,             0.00089141,             0.00089141,             0.00089141
                     21,                0.78344,                0.69278,                 1.0286,                0.95839,                0.82602,                0.94704,                0.70274,                0.92213,                0.66644,                 1.1359,             0.00086312,             0.00086312,             0.00086312
                     22,                0.79293,                0.72815,                  1.043,                0.84708,                0.89147,                0.92208,                0.72955,                0.84675,                 0.6773,                 1.0685,             0.00083482,             0.00083482,             0.00083482
                     23,                0.76869,                0.70428,                 1.0119,                0.93676,                0.85759,                0.92508,                 0.7286,                0.82025,                0.68627,                 1.0718,             0.00080653,             0.00080653,             0.00080653
                     24,                0.75765,                0.69575,                 1.0283,                 0.8839,                0.88026,                0.91317,                0.71238,                0.82242,                 0.7146,                 1.0388,             0.00077823,             0.00077823,             0.00077823
                     25,                 0.7434,                0.64897,                 1.0007,                 0.9519,                0.85243,                0.91153,                0.72181,                0.79477,                0.70368,                  1.065,             0.00074994,             0.00074994,             0.00074994
                     26,                0.73633,                0.61767,                 1.0135,                0.94373,                0.81694,                0.91533,                0.74748,                0.77274,                0.65649,                 1.0374,             0.00072164,             0.00072164,             0.00072164
                     27,                0.74811,                0.62124,                 1.0127,                0.88535,                0.82675,                0.90794,                0.72872,                0.78842,                0.64203,                 1.1114,             0.00069335,             0.00069335,             0.00069335
                     28,                0.75502,                0.62887,                 1.0203,                 0.8968,                0.92424,                0.94417,                0.75601,                0.85899,                0.63014,                 1.1097,             0.00066506,             0.00066506,             0.00066506
                     29,                0.71662,                0.61632,                0.99481,                0.85598,                 0.9155,                0.92219,                0.74002,                0.82804,                0.63216,                 1.0759,             0.00063676,             0.00063676,             0.00063676
                     30,                0.70925,                0.58932,                0.98859,                0.94879,                0.83831,                0.90331,                0.72895,                0.84076,                0.63623,                 1.0763,             0.00060847,             0.00060847,             0.00060847
                     31,                 0.6971,                0.56811,                 0.9849,                0.95835,                0.85361,                 0.9225,                0.73436,                0.84888,                 0.6277,                  1.088,             0.00058017,             0.00058017,             0.00058017
                     32,                0.69824,                0.58751,                0.98644,                0.92751,                    0.9,                0.94502,                0.76117,                0.82385,                0.57557,                 1.0754,             0.00055188,             0.00055188,             0.00055188
                     33,                0.68247,                0.55759,                0.98454,                0.94379,                0.89939,                0.95879,                0.79355,                0.78771,                0.52639,                 1.0412,             0.00052359,             0.00052359,             0.00052359
                     34,                0.67692,                0.54551,                0.98359,                0.95517,                0.88706,                0.94836,                0.77754,                0.79451,                0.57195,                 1.0542,             0.00049529,             0.00049529,             0.00049529
                     35,                0.67284,                0.53212,                0.98705,                0.98223,                0.87833,                0.94288,                0.76781,                 0.8375,                0.53426,                 1.0727,               0.000467,               0.000467,               0.000467
                     36,                0.65038,                0.52236,                0.97285,                 0.9318,                0.88906,                0.94577,                0.76009,                0.78258,                0.59672,                 1.0452,              0.0004387,              0.0004387,              0.0004387
                     37,                0.65248,                0.51844,                0.96517,                 0.9663,                0.85325,                0.93912,                0.76426,                0.76112,                0.53887,                  1.013,             0.00041041,             0.00041041,             0.00041041
                     38,                0.63428,                0.51262,                0.96059,                0.93113,                0.86568,                0.92554,                0.74221,                0.79573,                0.59287,                 1.0556,             0.00038211,             0.00038211,             0.00038211
                     39,                 0.6171,                0.49583,                0.96103,                0.93738,                0.85938,                0.91982,                0.74901,                0.77984,                0.54936,                 1.0626,             0.00035382,             0.00035382,             0.00035382
                     40,                0.61807,                0.49208,                 0.9499,                0.97002,                0.86579,                0.94334,                0.78461,                 0.7371,                0.56313,                  1.024,             0.00032553,             0.00032553,             0.00032553
                     41,                0.52785,                 0.3849,                0.88335,                0.94458,                0.86579,                0.94933,                0.77291,                 0.7669,                0.53573,                 1.0322,             0.00029723,             0.00029723,             0.00029723
                     42,                0.51632,                0.37114,                0.88329,                 0.9201,                0.87918,                0.93905,                0.76342,                0.77055,                0.57049,                 1.0529,             0.00026894,             0.00026894,             0.00026894
                     43,                0.49816,                0.37093,                0.87752,                0.93882,                0.87934,                0.93605,                0.77139,                0.77419,                0.54511,                 1.0481,             0.00024064,             0.00024064,             0.00024064
                     44,                0.48575,                0.35265,                0.87499,                0.97038,                0.86579,                0.93653,                0.77777,                0.74327,                0.55823,                 1.0159,             0.00021235,             0.00021235,             0.00021235
                     45,                0.48048,                0.34857,                0.87036,                0.93523,                0.87544,                0.94372,                0.78641,                0.74102,                0.52659,                 1.0229,             0.00018406,             0.00018406,             0.00018406
                     46,                0.47382,                0.33768,                0.86857,                0.97241,                0.85704,                0.94474,                0.78937,                0.73877,                0.53009,                 1.0031,             0.00015576,             0.00015576,             0.00015576
                     47,                0.45565,                0.32779,                0.86756,                0.96395,                0.86651,                 0.9428,                0.78455,                0.72474,                0.52956,                 1.0099,             0.00012747,             0.00012747,             0.00012747
                     48,                0.45301,                0.32683,                0.85841,                0.96358,                0.87293,                0.94709,                0.78812,                0.72195,                0.52338,                 1.0134,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.43987,                0.32164,                0.84903,                0.96395,                0.86964,                0.94584,                0.78067,                0.71864,                0.52269,                 1.0066,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.44013,                0.31762,                0.85856,                0.96009,                0.87008,                0.94882,                0.79325,                0.71605,                0.52232,                 1.0051,             4.2584e-05,             4.2584e-05,             4.2584e-05
